event_type,tau,mean_AR,mean_CAR,n
negative,-5,0.002354213436563596,0.002354213436563596,2
negative,-4,0.035315471504995456,0.037669684941559055,2
negative,-3,-0.03981264442071024,-0.0021429594791511873,2
negative,-2,-0.010779658386161056,-0.012922617865312243,2
negative,-1,-0.007443269232007468,-0.02036588709731971,2
negative,0,-0.06996004583152315,-0.09032593292884286,2
negative,1,0.07626211741332267,-0.014063815515520196,2
negative,2,-0.019040570690364418,-0.033104386205884614,2
negative,3,0.02818137788575471,-0.0049230083201299065,2
negative,4,-0.019285277780801628,-0.024208286100931536,2
negative,5,0.02084795060409047,-0.0033603354968410656,2
positive,-5,0.020597396157436474,0.020597396157436474,1
positive,-4,0.010755167214976994,0.03135256337241347,1
positive,-3,0.15495061350514483,0.1863031768775583,1
positive,-2,-0.010440862491528143,0.17586231438603014,1
positive,-1,-0.022671927463614194,0.15319038692241596,1
positive,0,0.10599677817929042,0.25918716510170636,1
positive,1,-0.023743012169241785,0.23544415293246457,1
positive,2,-0.04602754612219387,0.18941660681027073,1
positive,3,0.01910715940585359,0.2085237662161243,1
positive,4,0.008575615941818875,0.21709938215794317,1
positive,5,-0.03365138518158592,0.18344799697635727,1
