Date,Open,High,Low,Close,Adj Close,Volume,Daily Return (%)
2018-09-04,19.8,19.88,19.2,19.26,19.26,125257500,
2018-09-05,19.0,19.12,18.48,18.72,18.72,115812000,-2.84
2018-09-06,18.99,19.41,18.59,18.73,18.73,112212000,0.07
2018-09-07,17.34,17.89,16.82,17.55,17.55,337378500,-6.3
2018-09-10,18.22,19.07,18.07,19.03,19.03,214252500,8.46
2018-09-11,18.63,18.8,18.24,18.63,18.63,137550000,-2.12
2018-09-12,18.76,19.5,18.58,19.37,19.37,150231000,3.97
2018-09-13,19.2,19.67,19.01,19.3,19.3,95104500,-0.37
2018-09-14,19.25,19.82,19.1,19.68,19.68,101484000,1.98
2018-09-17,19.34,20.06,19.21,19.66,19.66,103314000,-0.12
2018-09-18,19.78,20.18,18.37,19.0,19.0,248212500,-3.35
2018-09-19,18.7,20.0,18.7,19.93,19.93,124423500,4.93
2018-09-20,20.24,20.4,19.56,19.89,19.89,110241000,-0.23
2018-09-21,19.85,20.04,19.69,19.94,19.94,75757500,0.26
2018-09-24,19.9,20.2,19.57,19.98,19.98,72645000,0.19
2018-09-25,20.0,20.31,19.77,20.07,20.07,67225500,0.44
2018-09-26,20.13,20.93,20.07,20.64,20.64,117648000,2.85
2018-09-27,20.86,21.0,20.46,20.5,20.5,127636500,-0.67
2018-09-28,18.02,18.53,17.37,17.65,17.65,504745500,-13.9
